Codigo,Nome,CodCurto,PVPBase,PesoBrt,Marca,Familia,NomeXtra,Gama,Familia,SubFamilia,status
355032059303,Maquina Lavar Grundig GWN 38230,59303,455,75,GRUNDIG,135,1200 RPM Variável - 8 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
355032059302,Maquina Lavar Grundig GWN 49430,59302,516,77,GRUNDIG,135,1400 RPM Variável - 9 Kg - Óculo Grande XL - Electrónica - Volumax - Display Digital - Classe A+++(-10%)AB,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
355033059501,Maquina Louça Grundig GNF 41820,59501,525,"48,4",GRUNDIG,135,13 Talheres | Mini LCD | 8 Programas | Classe A++AA | Branca,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
355033059500,Maquina Louça Grundig GNF 41820 X,59500,577,"48,4",GRUNDIG,135,13 Talheres | Mini LCD | 8 Programas | Classe A++AA | Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
355033059504,Maquina Louça Grundig GNF 41823 X,59504,0,"48,4",GRUNDIG,135,13 Talheres | Mini LCD | 8 Programas | Classe A++AA | Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
355033059502,Maquina Louça Grundig GSF 41820 X,59502,585,"42,3",GRUNDIG,135,10 Talheres | Mini LCD | 8 Programas | Classe A++AA | Inox,GRANDES DOMÉSTICOS,MAQUINAS LAVAR LOUÇA,MLL DE 60 Cm,sim
350033059508,Maquina Louça Integ. Grundig GNV 41835,59508,830,"48,4",GRUNDIG,115,14 Talheres | Mini LCD | 8 Programas | Classe A+++AA | Total integração,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,não
355033059508,Maquina Louça Integ. Grundig GNV 41835,59508,830,"44,5",GRUNDIG,115,14 Talheres | Mini LCD | 8 Programas | Classe A+++AA | Total integração,GRANDES DOMÉSTICOS,ENCASTRE - MAQ.LOUÇA,MAQ.LAVAR LOUÇA 60 Cm,sim
375032067210,Máquina Roupa Hisense WFBJ90121,67210,392,76,HISENSE,135,,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
375032067207,Máquina Roupa Hisense WFDJ7010,67207,312,76,HISENSE,135,,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,não
375032067206,Máquina Roupa Hisense WFEA6010,67206,275,65,HISENSE,135,,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
375032067212,Máquina Roupa Hisense WFEH1014VJ,67212,519,76,HISENSE,135,,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
375032067211,Máquina Roupa Hisense WFP9014V,67211,0,78,HISENSE,135,,GRANDES DOMÉSTICOS,MAQUINAS LAVAR ROUPA,MLR CARGA FRONTAL,sim
350032047241,Maquina Secar Beko DB 7111 PA0,47241,348,34,BEKO,135,Secador P/Condensação | 15 Programas | 7 Kg | Controlo de Humidade Eletrónico | Classe: B,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,sim
350032047220,Maquina Secar Beko DC 7130,47220,348,37,BEKO,135,Secador P/Condensação | 15 Programas | 7 Kg | Controlo de Humidade Eletrónico | Classe: B,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,não
350032047216,Maquina Secar Beko DCU 7230,47216,344,38,BEKO,135,Secador P/Condensação | 15 Programas | 7 Kg | Controlo Humidade Eletrónico | Classe B,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,não
350032047235,Maquina Secar Beko DCY 8402 XW3,47235,396,38,BEKO,135,Secador P/Condensação | 15 Programas | Display digital | 8 Kg | Controlo Humidade Eletrónico | Classe: B,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,não
350032047243,Maquina Secar Beko DH 10412 RX,47243,585,"53,5",BEKO,135,Secador P/Condensação c/Bomba Calor | 16 Programas | Display digital | 9 Kg | Controlo Humidade Eletrónico | Classe A++,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,sim
350032047237,Maquina Secar Beko DH 9433 RXO,47237,615,53,BEKO,135,Secador P/Condensação c/Bomba Calor | 16 Programas | Display digital | 9 Kg | Controlo Humidade Eletrónico | Classe A++,GRANDES DOMÉSTICOS,MAQUINAS SECAR ROUPA,MSR POR CONDENSAÇÃO,sim
